CustomerID,Gender,Age,SeniorCitizen,Dependents,Region,Tenure_Months,Contract,InternetService,TechSupport,PaymentMethod,NumProducts,MonthlyCharges,TotalCharges,JoinDate,Churn,ChurnReason,CohortMonth
CUST0079,Female,37,0,Yes,South,9,Month-to-Month,Fiber Optic,Yes,Electronic Check,4,76.84,648.12,2022-08-03,1,Lack of Features,2022-08
CUST0080,Male,25,1,Yes,North,1,Month-to-Month,DSL,No,Mailed Check,3,68.86,87.92,2023-11-18,1,Better Price Elsewhere,2023-11
CUST0081,Female,68,0,Yes,West,8,Month-to-Month,Fiber Optic,No,Electronic Check,2,31.64,260.36,2022-10-01,0,NA,2022-10
CUST0082,Female,43,0,Yes,North,63,One Year,Fiber Optic,No,Mailed Check,2,53.82,3381.11,2023-12-20,0,NA,2023-12
CUST0083,Male,50,0,No,North,11,One Year,DSL,No,Credit Card,1,28.92,304.48,2023-12-01,0,NA,2023-12
CUST0084,Male,43,0,Yes,South,8,Month-to-Month,Fiber Optic,No,Bank Transfer,2,76.07,580.24,2023-10-26,1,Lack of Features,2023-10
CUST0085,Female,54,0,Yes,South,35,Two Year,No Internet,No,Credit Card,2,60.22,2124.66,2022-03-15,0,NA,2022-03
CUST0086,Female,47,0,No,East,35,Two Year,Fiber Optic,No,Electronic Check,3,90.02,3197.77,2023-09-16,0,NA,2023-09
CUST0087,Male,48,0,No,West,33,One Year,Fiber Optic,No,Mailed Check,1,39.84,1282.29,2023-10-13,1,Switched to Competitor,2023-10
CUST0088,Female,50,1,Yes,West,5,Two Year,Fiber Optic,Yes,Mailed Check,3,34.81,183.76,2022-06-25,0,NA,2022-06
CUST0089,Male,28,0,No,South,41,Month-to-Month,Fiber Optic,No,Electronic Check,1,56.57,2311.79,2023-07-01,0,NA,2023-07
CUST0090,Male,58,0,No,North,28,Month-to-Month,Fiber Optic,No,Electronic Check,1,103.39,2889.59,2022-09-08,1,Financial Constraints,2022-09
CUST0091,Male,22,1,Yes,East,7,Month-to-Month,DSL,Yes,Bank Transfer,1,83.94,562.99,2022-06-17,0,NA,2022-06
CUST0092,Male,19,0,Yes,South,72,Month-to-Month,No Internet,No,Bank Transfer,1,57.7,4186.91,2023-04-19,0,NA,2023-04
CUST0093,Female,30,0,No,East,12,One Year,Fiber Optic,No,Mailed Check,4,66.55,797.13,2023-01-24,0,NA,2023-01
CUST0094,Female,35,0,No,East,34,Two Year,DSL,No,Mailed Check,2,27.58,942.06,2022-10-04,0,NA,2022-10
CUST0095,Male,43,0,No,West,33,Month-to-Month,DSL,No,Mailed Check,1,108.61,3564.61,2023-10-18,1,Moved Away,2023-10
CUST0096,Male,42,0,Yes,East,48,Month-to-Month,No Internet,No,Electronic Check,4,79.98,3807.22,2023-12-06,1,Better Price Elsewhere,2023-12
CUST0097,Female,61,0,No,West,23,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,45.69,1009.46,2023-07-25,1,Poor Customer Service,2023-07
CUST0098,Female,31,0,No,North,62,Two Year,Fiber Optic,No,Electronic Check,3,72.72,4530.05,2022-08-13,0,NA,2022-08
CUST0099,Female,22,0,Yes,North,37,Month-to-Month,Fiber Optic,No,Electronic Check,4,29.85,1074.07,2023-12-03,0,NA,2023-12
CUST0100,Female,59,0,No,South,44,One Year,DSL,Yes,Credit Card,1,106.93,4723.93,2022-11-29,0,NA,2022-11
CUST0101,Female,69,0,No,North,35,Month-to-Month,No Internet,Yes,Bank Transfer,3,35.73,1239.59,2022-02-27,0,NA,2022-02
CUST0102,Male,19,0,No,West,65,Month-to-Month,Fiber Optic,No,Bank Transfer,3,78.32,5082.38,2022-08-23,0,NA,2022-08
CUST0103,Male,21,0,No,East,47,Two Year,Fiber Optic,Yes,Electronic Check,3,42.09,1975.15,2022-02-02,0,NA,2022-02
CUST0104,Male,29,0,No,East,3,Two Year,No Internet,No,Mailed Check,3,84.58,240.51,2022-11-20,0,NA,2022-11
CUST0105,Male,28,0,No,North,1,Month-to-Month,No Internet,Yes,Electronic Check,2,89.91,49.97,2023-02-15,1,Lack of Features,2023-02
CUST0106,Female,21,0,No,West,5,Two Year,No Internet,Yes,Electronic Check,3,80.61,384.01,2022-10-02,0,NA,2022-10
CUST0107,Female,60,0,Yes,East,14,One Year,DSL,No,Electronic Check,1,75.3,1070.57,2022-03-09,1,Moved Away,2022-03
CUST0108,Male,26,1,No,North,27,Two Year,Fiber Optic,Yes,Credit Card,2,100.32,2725.22,2022-08-05,0,NA,2022-08
CUST0109,Male,27,0,Yes,West,9,Month-to-Month,DSL,No,Bank Transfer,1,27.08,222.34,2023-08-04,0,NA,2023-08
CUST0110,Female,44,0,Yes,West,15,One Year,DSL,No,Mailed Check,4,49.78,742.71,2022-11-19,0,NA,2022-11
CUST0111,Male,23,0,No,East,42,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,42.35,1748.04,2022-08-06,0,NA,2022-08
CUST0112,Male,32,0,No,South,51,One Year,DSL,Yes,Credit Card,2,108.92,5525.96,2023-11-03,0,NA,2023-11
CUST0113,Female,59,0,No,South,63,Month-to-Month,DSL,Yes,Electronic Check,2,55.05,3420.45,2023-05-27,0,NA,2023-05
CUST0114,Female,48,0,No,West,52,Month-to-Month,Fiber Optic,Yes,Electronic Check,4,85.94,4508.55,2023-02-10,0,NA,2023-02
CUST0115,Female,39,0,Yes,West,4,Month-to-Month,No Internet,No,Mailed Check,2,81.63,297.59,2023-10-21,1,Better Price Elsewhere,2023-10
CUST0116,Male,23,1,No,North,23,One Year,DSL,No,Bank Transfer,3,39.09,871.82,2023-04-15,0,NA,2023-04
CUST0117,Female,50,0,No,West,15,Month-to-Month,No Internet,Yes,Credit Card,3,41.51,600.61,2022-05-27,0,NA,2022-05
CUST0118,Female,46,0,No,North,43,One Year,Fiber Optic,No,Electronic Check,2,45.32,1911.5,2022-09-29,1,Switched to Competitor,2022-09
CUST0119,Male,38,0,No,North,29,Two Year,Fiber Optic,Yes,Credit Card,2,57.0,1666.93,2022-05-23,0,NA,2022-05
CUST0120,Female,69,0,No,North,36,Month-to-Month,DSL,Yes,Credit Card,3,41.09,1436.75,2022-09-10,0,NA,2022-09
CUST0121,Male,47,1,No,West,13,One Year,Fiber Optic,Yes,Electronic Check,4,21.77,246.43,2023-07-29,1,Switched to Competitor,2023-07
CUST0122,Male,38,1,No,West,32,Month-to-Month,DSL,No,Mailed Check,3,99.15,3187.28,2023-07-06,1,Moved Away,2023-07
CUST0123,Male,53,0,Yes,North,71,Two Year,DSL,No,Mailed Check,1,106.9,7573.87,2022-09-27,0,NA,2022-09
CUST0124,Male,39,1,No,East,59,Month-to-Month,Fiber Optic,No,Credit Card,3,50.74,3014.45,2023-08-22,0,NA,2023-08
CUST0125,Female,63,0,No,West,28,One Year,DSL,Yes,Electronic Check,2,50.47,1418.9,2023-03-15,0,NA,2023-03
CUST0126,Male,37,1,No,South,66,Two Year,DSL,Yes,Credit Card,2,20.64,1337.84,2023-08-21,0,NA,2023-08
CUST0127,Female,39,0,No,East,42,Two Year,Fiber Optic,No,Electronic Check,3,81.22,3426.32,2023-02-13,0,NA,2023-02
CUST0128,Female,69,0,No,South,45,One Year,No Internet,No,Bank Transfer,1,94.29,4204.68,2023-01-06,0,NA,2023-01
CUST0129,Female,57,0,No,West,62,Month-to-Month,No Internet,No,Mailed Check,3,33.19,2061.42,2022-08-13,0,NA,2022-08
CUST0130,Female,28,0,No,East,57,One Year,DSL,Yes,Bank Transfer,2,34.37,1952.8,2022-05-22,0,NA,2022-05
CUST0131,Female,64,0,No,West,6,Two Year,DSL,Yes,Credit Card,3,91.11,523.45,2023-06-06,0,NA,2023-06
CUST0132,Male,48,0,No,West,28,One Year,DSL,No,Credit Card,1,75.47,2123.56,2023-05-21,1,Poor Customer Service,2023-05
CUST0133,Female,68,0,No,East,28,Month-to-Month,No Internet,No,Credit Card,2,24.04,710.25,2022-04-04,0,NA,2022-04
CUST0134,Male,57,0,No,West,44,Two Year,DSL,No,Electronic Check,3,76.03,3395.21,2022-02-18,0,NA,2022-02
CUST0135,Male,30,0,Yes,East,30,One Year,DSL,No,Bank Transfer,1,47.8,1444.78,2022-04-23,0,NA,2022-04
CUST0136,Male,35,1,No,West,62,One Year,No Internet,No,Electronic Check,1,53.19,3288.25,2022-06-06,0,NA,2022-06
CUST0137,Female,39,0,Yes,North,62,Month-to-Month,Fiber Optic,No,Mailed Check,4,89.28,5507.88,2023-10-05,0,NA,2023-10
CUST0138,Female,34,1,No,South,1,One Year,No Internet,No,Mailed Check,1,92.98,68.69,2022-06-13,0,NA,2022-06
CUST0139,Female,55,0,No,North,27,Month-to-Month,Fiber Optic,No,Mailed Check,4,56.03,1510.76,2023-11-28,0,NA,2023-11
CUST0140,Female,42,0,No,West,62,One Year,Fiber Optic,No,Mailed Check,1,105.24,6511.61,2023-03-09,0,NA,2023-03
CUST0141,Male,49,0,No,West,3,Month-to-Month,Fiber Optic,Yes,Credit Card,2,56.58,211.12,2023-09-03,1,Financial Constraints,2023-09
CUST0142,Female,32,0,No,West,70,One Year,No Internet,Yes,Electronic Check,3,89.47,6249.73,2022-03-07,0,NA,2022-03
CUST0143,Female,30,0,Yes,North,72,Two Year,No Internet,No,Bank Transfer,3,63.55,4562.94,2023-01-30,0,NA,2023-01
CUST0144,Male,43,0,No,West,27,Month-to-Month,DSL,No,Mailed Check,2,100.78,2709.41,2023-01-26,0,NA,2023-01
CUST0145,Male,67,0,No,East,9,Two Year,DSL,No,Electronic Check,2,101.7,948.96,2023-09-03,0,NA,2023-09
CUST0146,Male,28,0,No,South,62,Month-to-Month,DSL,Yes,Electronic Check,3,27.87,1743.02,2023-04-25,0,NA,2023-04
CUST0147,Male,30,0,No,West,37,Two Year,No Internet,Yes,Credit Card,1,104.28,3869.78,2023-06-26,0,NA,2023-06
CUST0148,Male,50,0,No,West,51,One Year,DSL,No,Credit Card,2,94.3,4792.71,2022-09-15,1,Moved Away,2022-09
CUST0149,Male,67,0,No,South,44,One Year,Fiber Optic,Yes,Credit Card,1,91.22,4045.47,2023-07-21,0,NA,2023-07
CUST0150,Male,54,0,No,South,24,One Year,Fiber Optic,Yes,Credit Card,2,38.08,867.76,2022-01-12,0,NA,2022-01
CUST0151,Female,55,0,No,South,59,Two Year,No Internet,Yes,Electronic Check,1,92.46,5492.22,2023-11-28,0,NA,2023-11
CUST0152,Female,18,0,Yes,North,32,Month-to-Month,DSL,No,Mailed Check,2,96.51,3089.59,2022-04-28,1,Better Price Elsewhere,2022-04
CUST0153,Male,56,0,No,North,52,Month-to-Month,Fiber Optic,Yes,Bank Transfer,2,46.02,2382.87,2023-11-30,0,NA,2023-11
CUST0154,Male,44,0,No,West,62,One Year,Fiber Optic,No,Mailed Check,1,105.7,6553.12,2023-07-04,0,NA,2023-07
CUST0155,Female,53,0,Yes,South,58,Two Year,No Internet,No,Mailed Check,1,24.49,1437.16,2022-10-01,0,NA,2022-10
CUST0156,Male,49,0,Yes,West,52,One Year,Fiber Optic,No,Mailed Check,3,33.49,1692.76,2023-10-19,0,NA,2023-10
CUST0157,Male,58,0,No,West,12,One Year,DSL,No,Bank Transfer,2,68.38,857.72,2022-12-15,0,NA,2022-12
CUST0158,Male,32,0,No,West,39,Month-to-Month,No Internet,Yes,Bank Transfer,3,71.82,2795.65,2022-04-25,0,NA,2022-04
CUST0159,Male,48,0,Yes,North,2,Two Year,Fiber Optic,Yes,Electronic Check,3,78.06,140.42,2022-10-28,0,NA,2022-10
CUST0160,Male,23,0,No,South,3,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,21.53,28.41,2023-03-22,1,Poor Customer Service,2023-03
CUST0161,Female,42,0,No,West,56,One Year,DSL,No,Mailed Check,2,106.43,5954.03,2022-06-11,0,NA,2022-06
CUST0162,Male,66,0,Yes,North,59,Month-to-Month,No Internet,Yes,Bank Transfer,1,24.01,1416.22,2023-04-10,0,NA,2023-04
CUST0163,Male,69,0,Yes,East,2,Month-to-Month,DSL,Yes,Electronic Check,3,32.88,56.12,2022-01-04,0,NA,2022-01
CUST0164,Male,35,0,No,East,2,Month-to-Month,No Internet,No,Bank Transfer,4,21.26,60.39,2022-09-27,0,NA,2022-09
CUST0165,Female,39,0,Yes,West,54,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,71.02,3827.17,2023-05-28,0,NA,2023-05
CUST0166,Female,48,1,No,West,1,One Year,DSL,Yes,Mailed Check,3,103.9,150.04,2022-07-02,0,NA,2022-07
CUST0167,Male,53,0,No,South,19,Month-to-Month,DSL,No,Bank Transfer,1,79.94,1528.79,2023-06-04,1,Better Price Elsewhere,2023-06
CUST0168,Male,26,0,No,South,2,Month-to-Month,No Internet,No,Mailed Check,2,94.04,218.83,2022-04-19,0,NA,2022-04
CUST0169,Male,63,0,Yes,West,53,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,21.2,1084.54,2023-10-03,1,Better Price Elsewhere,2023-10
CUST0170,Male,20,0,Yes,North,44,Month-to-Month,No Internet,Yes,Bank Transfer,1,68.78,3016.05,2022-11-02,0,NA,2022-11
CUST0171,Female,50,0,Yes,West,32,Month-to-Month,DSL,No,Mailed Check,1,61.36,1947.2,2023-10-17,0,NA,2023-10
CUST0172,Female,44,0,Yes,South,70,Month-to-Month,Fiber Optic,Yes,Credit Card,2,64.91,4550.65,2023-06-04,1,Switched to Competitor,2023-06
CUST0173,Male,60,0,No,South,32,One Year,Fiber Optic,No,Bank Transfer,3,26.5,884.11,2023-09-16,0,NA,2023-09
CUST0174,Male,18,0,Yes,North,68,One Year,No Internet,Yes,Bank Transfer,2,81.6,5506.63,2022-07-23,0,NA,2022-07
CUST0175,Female,61,0,No,West,55,One Year,Fiber Optic,No,Mailed Check,4,65.29,3548.21,2022-06-06,0,NA,2022-06
CUST0176,Female,26,1,No,South,56,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,88.86,5011.19,2023-01-18,1,Switched to Competitor,2023-01
CUST0177,Male,22,0,Yes,West,17,Month-to-Month,Fiber Optic,No,Electronic Check,2,63.68,1053.85,2022-06-15,0,NA,2022-06
CUST0178,Male,32,1,Yes,South,38,Two Year,No Internet,Yes,Mailed Check,3,33.44,1287.6,2023-07-07,0,NA,2023-07
CUST0179,Male,67,1,Yes,East,24,One Year,DSL,No,Bank Transfer,1,78.34,1884.45,2023-06-28,0,NA,2023-06
CUST0180,Female,26,0,Yes,East,69,Month-to-Month,No Internet,Yes,Mailed Check,3,35.51,2483.48,2022-01-01,0,NA,2022-01
CUST0181,Female,62,0,No,East,70,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,98.52,6858.91,2023-09-06,1,Financial Constraints,2023-09
CUST0182,Female,45,0,No,South,11,Month-to-Month,DSL,No,Electronic Check,1,75.18,789.96,2022-11-28,1,Moved Away,2022-11
CUST0183,Female,30,0,No,North,16,Month-to-Month,DSL,No,Mailed Check,1,34.15,552.08,2023-05-16,0,NA,2023-05
CUST0184,Male,41,0,No,East,59,Month-to-Month,No Internet,No,Electronic Check,4,106.61,6334.63,2022-01-20,0,NA,2022-01
CUST0185,Female,62,0,No,South,70,One Year,No Internet,No,Bank Transfer,2,66.65,4657.0,2022-04-25,0,NA,2022-04
CUST0186,Female,27,0,No,West,3,One Year,Fiber Optic,No,Electronic Check,3,26.56,62.37,2023-01-07,0,NA,2023-01
CUST0187,Female,59,0,No,East,20,One Year,DSL,No,Bank Transfer,2,76.41,1538.87,2022-11-11,0,NA,2022-11
CUST0188,Male,39,0,Yes,North,59,One Year,Fiber Optic,No,Credit Card,2,42.79,2567.65,2022-09-03,0,NA,2022-09
CUST0189,Female,56,0,Yes,North,36,Two Year,DSL,No,Electronic Check,2,92.33,3357.57,2022-03-01,0,NA,2022-03
CUST0190,Female,39,0,No,North,19,One Year,Fiber Optic,Yes,Mailed Check,4,93.6,1827.95,2022-09-04,1,Lack of Features,2022-09
CUST0191,Female,54,0,No,West,67,Two Year,Fiber Optic,No,Electronic Check,3,108.11,7195.63,2023-08-04,1,Moved Away,2023-08
CUST0192,Male,69,0,No,West,19,Month-to-Month,Fiber Optic,No,Bank Transfer,3,65.17,1199.52,2022-03-22,1,Poor Customer Service,2022-03
CUST0193,Female,56,0,No,North,20,Month-to-Month,DSL,Yes,Mailed Check,1,60.95,1229.95,2022-03-29,0,NA,2022-03
CUST0194,Male,37,0,No,North,71,Month-to-Month,Fiber Optic,No,Mailed Check,2,87.81,6266.57,2023-05-13,1,Lack of Features,2023-05
